Date,Open,High,Low,Close,Adj Close,Volume
2024-01-15,2.052978,2.136851,2.038210,2.056655,2.056655,3868288
2024-01-16,2.056321,2.461503,2.054757,2.273938,2.273938,22328893
2024-01-17,2.274493,2.488320,2.203849,2.288191,2.288191,14739825
2024-01-18,2.284788,2.439756,2.172092,2.278041,2.278041,12343294
2024-01-19,2.278041,2.419995,2.229020,2.270714,2.270714,8989626
2024-01-20,2.270714,2.434270,2.250194,2.330919,2.330919,5579398
2024-01-21,2.330920,2.437464,2.285638,2.285638,2.285638,3864331
2024-01-22,2.283947,2.578567,2.239369,2.376363,2.376363,17152345
2024-01-23,2.376363,2.456521,2.253657,2.357403,2.357403,7864590
2024-01-24,2.357526,2.445760,2.352028,2.378697,2.378697,2939435
2024-01-25,2.378698,2.458354,2.363744,2.421183,2.421183,3894765
2024-01-26,2.420300,2.695159,2.416299,2.530499,2.530499,7968829
2024-01-27,2.530499,2.578787,2.518410,2.568501,2.568501,3029219
2024-01-28,2.566609,2.655727,2.520035,2.544130,2.544130,3543005
2024-01-29,2.544120,2.557631,2.515119,2.535640,2.535640,2830249
2024-01-30,2.535677,2.613815,2.511449,2.532572,2.532572,3950257
2024-01-31,2.532565,2.556039,2.423420,2.468865,2.468865,3308810
2024-02-01,2.468711,2.488506,2.331052,2.483222,2.483222,3813206
2024-02-02,2.483196,2.501673,2.437058,2.439855,2.439855,2276037
2024-02-03,2.439855,2.443323,2.397533,2.413602,2.413602,2133728
2024-02-04,2.413947,2.424136,2.323829,2.341049,2.341049,2659745
2024-02-05,2.341113,2.346351,2.258089,2.282247,2.282247,2560093
2024-02-06,2.282303,2.400577,2.275929,2.359812,2.359812,3639893
2024-02-07,2.359507,2.405977,2.359104,2.381606,2.381606,3744457
